event_id,event_name,user_id,session_id,timestamp,environment,page_path,properties,device_type,country
evt_001,page_view,user_1001,sess_5001,2026-03-24T00:05:23Z,canary,/home,"{""referrer"": ""google.com"", ""utm_source"": ""organic""}",desktop,US
evt_002,page_view,user_1002,sess_5002,2026-03-24T00:08:45Z,stable,/home,"{""referrer"": ""direct"", ""utm_source"": """"}",mobile,UK
evt_003,advertiser_registered,user_1003,sess_5003,2026-03-24T00:12:34Z,canary,/register/advertiser,"{""registration_method"": ""email"", ""company_name"": ""TechCorp"", ""industry"": ""Technology"", ""company_size"": ""51-200"", ""country"": ""US""}",desktop,US
evt_004,page_view,user_1003,sess_5003,2026-03-24T00:13:01Z,canary,/advertiser/dashboard,"{""referrer"": ""internal"", ""utm_source"": """"}",desktop,US
evt_005,kol_registered,user_1004,sess_5004,2026-03-24T00:15:22Z,stable,/register/kol,"{""registration_method"": ""google"", ""primary_platform"": ""instagram"", ""follower_count"": 45000, ""category"": ""Beauty"", ""country"": ""UK""}",mobile,UK
evt_006,button_click,user_1001,sess_5001,2026-03-24T00:18:45Z,canary,/home,"{""button_id"": ""cta_get_started"", ""button_text"": ""Get Started"", ""button_location"": ""hero_section""}",desktop,US
evt_007,page_view,user_1005,sess_5005,2026-03-24T00:22:11Z,canary,/kol/search,"{""referrer"": ""internal"", ""utm_source"": """"}",desktop,CA
evt_008,kol_searched,user_1005,sess_5005,2026-03-24T00:23:45Z,canary,/kol/search,"{""search_query"": ""beauty influencers"", ""filters"": {""platform"": [""instagram""], ""follower_range"": [10000, 100000], ""engagement_rate"": [2, 5]}, ""results_count"": 156, ""page_number"": 1}",desktop,CA
evt_009,form_submit,user_1003,sess_5003,2026-03-24T00:25:33Z,canary,/advertiser/profile,"{""form_id"": ""profile_form"", ""form_name"": ""Advertiser Profile"", ""fields_count"": 12, ""validation_errors"": 0, ""submission_success"": true}",desktop,US
evt_010,account_connected,user_1004,sess_5004,2026-03-24T00:28:56Z,stable,/kol/accounts,"{""platform"": ""instagram"", ""account_username"": ""@beautybysarah"", ""follower_count"": 45000, ""verification_status"": ""verified""}",mobile,UK
evt_011,campaign_created,user_1003,sess_5003,2026-03-24T00:32:18Z,canary,/campaign/create,"{""campaign_id"": ""cmp_001"", ""campaign_type"": ""brand_awareness"", ""budget"": 5000, ""currency"": ""USD"", ""duration_days"": 30, ""target_platforms"": [""instagram"", ""tiktok""]}",desktop,US
evt_012,page_view,user_1006,sess_5006,2026-03-24T00:35:42Z,stable,/home,"{""referrer"": ""facebook.com"", ""utm_source"": ""social""}",mobile,BR
evt_013,kol_registered,user_1006,sess_5006,2026-03-24T00:38:15Z,stable,/register/kol,"{""registration_method"": ""facebook"", ""primary_platform"": ""tiktok"", ""follower_count"": 125000, ""category"": ""Comedy"", ""country"": ""BR""}",mobile,BR
evt_014,page_view,user_1007,sess_5007,2026-03-24T00:42:33Z,canary,/home,"{""referrer"": ""google.com"", ""utm_source"": ""paid""}",desktop,DE
evt_015,advertiser_registered,user_1007,sess_5007,2026-03-24T00:45:21Z,canary,/register/advertiser,"{""registration_method"": ""email"", ""company_name"": ""BeautyBrand GmbH"", ""industry"": ""Beauty & Fashion"", ""company_size"": ""11-50"", ""country"": ""DE""}",desktop,DE
evt_016,button_click,user_1005,sess_5005,2026-03-24T00:48:56Z,canary,/kol/search,"{""button_id"": ""kol_profile_view"", ""button_text"": ""View Profile"", ""button_location"": ""search_results""}",desktop,CA
evt_017,page_view,user_1008,sess_5008,2026-03-24T00:52:14Z,stable,/home,"{""referrer"": ""direct"", ""utm_source"": """"}",desktop,AU
evt_018,advertiser_registered,user_1008,sess_5008,2026-03-24T00:55:38Z,stable,/register/advertiser,"{""registration_method"": ""google"", ""company_name"": ""Aussie Electronics"", ""industry"": ""E-commerce"", ""company_size"": ""11-50"", ""country"": ""AU""}",desktop,AU
evt_019,order_created,user_1003,sess_5003,2026-03-24T00:58:45Z,canary,/order/create,"{""order_id"": ""ord_001"", ""campaign_id"": ""cmp_001"", ""kol_id"": ""kol_234"", ""order_value"": 1500, ""currency"": ""USD"", ""service_type"": ""sponsored_post"", ""delivery_timeline_days"": 7}",desktop,US
evt_020,payment_completed,user_1003,sess_5003,2026-03-24T01:02:33Z,canary,/payment/confirm,"{""payment_id"": ""pay_001"", ""order_id"": ""ord_001"", ""amount"": 1500, ""currency"": ""USD"", ""payment_method"": ""credit_card"", ""payment_processor"": ""stripe"", ""processing_time_ms"": 1250}",desktop,US
evt_021,page_view,user_1009,sess_5009,2026-03-24T01:05:22Z,canary,/home,"{""referrer"": ""twitter.com"", ""utm_source"": ""social""}",mobile,FR
evt_022,kol_registered,user_1009,sess_5009,2026-03-24T01:08:45Z,canary,/register/kol,"{""registration_method"": ""email"", ""primary_platform"": ""youtube"", ""follower_count"": 320000, ""category"": ""Tech"", ""country"": ""FR""}",mobile,FR
evt_023,task_applied,user_1004,sess_5004,2026-03-24T01:12:18Z,stable,/kol/tasks,"{""task_id"": ""tsk_001"", ""campaign_id"": ""cmp_stable_001"", ""advertiser_id"": ""adv_567"", ""application_message"": ""I would love to work with you!"", ""proposed_rate"": 800, ""estimated_delivery_days"": 5}",mobile,UK
evt_024,page_view,user_1010,sess_5010,2026-03-24T01:15:33Z,stable,/home,"{""referrer"": ""google.com"", ""utm_source"": ""organic""}",desktop,IN
evt_025,advertiser_registered,user_1010,sess_5010,2026-03-24T01:18:56Z,stable,/register/advertiser,"{""registration_method"": ""email"", ""company_name"": ""Mumbai Fashion House"", ""industry"": ""Beauty & Fashion"", ""company_size"": ""11-50"", ""country"": ""IN""}",desktop,IN
evt_026,error_occurred,user_1011,sess_5011,2026-03-24T01:22:14Z,canary,/kol/connect,"{""error_type"": ""backend"", ""error_code"": ""TIKTOK_API_ERROR"", ""error_message"": ""Failed to connect to TikTok API"", ""severity"": ""medium""}",mobile,US
evt_027,page_view,user_1011,sess_5011,2026-03-24T01:22:45Z,canary,/home,"{""referrer"": ""internal"", ""utm_source"": """"}",mobile,US
evt_028,kol_registered,user_1011,sess_5011,2026-03-24T01:25:33Z,canary,/register/kol,"{""registration_method"": ""email"", ""primary_platform"": ""tiktok"", ""follower_count"": 85000, ""category"": ""Lifestyle"", ""country"": ""US""}",mobile,US
evt_029,account_connected,user_1009,sess_5009,2026-03-24T01:28:18Z,canary,/kol/accounts,"{""platform"": ""youtube"", ""account_username"": ""@TechReviewsFR"", ""follower_count"": 320000, ""verification_status"": ""verified""}",mobile,FR
evt_030,content_submitted,user_1004,sess_5004,2026-03-24T01:32:45Z,stable,/kol/submissions,"{""submission_id"": ""sub_001"", ""task_id"": ""tsk_001"", ""content_type"": ""video"", ""content_length_seconds"": 45, ""platform"": ""instagram"", ""submission_method"": ""upload""}",mobile,UK
evt_031,page_view,user_1012,sess_5012,2026-03-24T01:35:22Z,canary,/advertiser/dashboard,"{""referrer"": ""direct"", ""utm_source"": """"}",desktop,SG
evt_032,campaign_created,user_1012,sess_5012,2026-03-24T01:38:56Z,canary,/campaign/create,"{""campaign_id"": ""cmp_002"", ""campaign_type"": ""conversion"", ""budget"": 8000, ""currency"": ""USD"", ""duration_days"": 45, ""target_platforms"": [""instagram"", ""youtube""]}",desktop,SG
evt_033,kol_searched,user_1012,sess_5012,2026-03-24T01:42:14Z,canary,/kol/search,"{""search_query"": ""tech reviewers"", ""filters"": {""platform"": [""youtube""], ""follower_range"": [100000, 500000], ""engagement_rate"": [3, 8]}, ""results_count"": 89, ""page_number"": 1}",desktop,SG
evt_034,button_click,user_1012,sess_5012,2026-03-24T01:45:33Z,canary,/kol/search,"{""button_id"": ""filter_apply"", ""button_text"": ""Apply Filters"", ""button_location"": ""search_filters""}",desktop,SG
evt_035,page_view,user_1013,sess_5013,2026-03-24T01:48:18Z,stable,/home,"{""referrer"": ""linkedin.com"", ""utm_source"": ""social""}",desktop,US
evt_036,advertiser_registered,user_1013,sess_5013,2026-03-24T01:52:45Z,stable,/register/advertiser,"{""registration_method"": ""linkedin"", ""company_name"": ""Silicon Valley Startup"", ""industry"": ""Technology"", ""company_size"": ""1-10"", ""country"": ""US""}",desktop,US
evt_037,withdrawal_requested,user_1004,sess_5004,2026-03-24T01:55:22Z,stable,/kol/wallet,"{""withdrawal_id"": ""wd_001"", ""amount"": 2500, ""currency"": ""USD"", ""withdrawal_method"": ""bank_transfer"", ""account_last_four"": ""4567""}",mobile,UK
evt_038,page_view,user_1014,sess_5014,2026-03-24T01:58:56Z,canary,/home,"{""referrer"": ""google.com"", ""utm_source"": ""organic""}",mobile,JP
evt_039,kol_registered,user_1014,sess_5014,2026-03-24T02:02:14Z,canary,/register/kol,"{""registration_method"": ""google"", ""primary_platform"": ""instagram"", ""follower_count"": 67000, ""category"": ""Food"", ""country"": ""JP""}",mobile,JP
evt_040,form_submit,user_1007,sess_5007,2026-03-24T02:05:33Z,canary,/advertiser/profile,"{""form_id"": ""profile_form"", ""form_name"": ""Advertiser Profile"", ""fields_count"": 12, ""validation_errors"": 0, ""submission_success"": true}",desktop,DE
evt_041,page_view,user_1015,sess_5015,2026-03-24T02:08:18Z,stable,/home,"{""referrer"": ""instagram.com"", ""utm_source"": ""social""}",mobile,MX
evt_042,kol_registered,user_1015,sess_5015,2026-03-24T02:12:45Z,stable,/register/kol,"{""registration_method"": ""instagram"", ""primary_platform"": ""tiktok"", ""follower_count"": 234000, ""category"": ""Dance"", ""country"": ""MX""}",mobile,MX
evt_043,campaign_created,user_1007,sess_5007,2026-03-24T02:15:22Z,canary,/campaign/create,"{""campaign_id"": ""cmp_003"", ""campaign_type"": ""engagement"", ""budget"": 3500, ""currency"": ""EUR"", ""duration_days"": 21, ""target_platforms"": [""instagram""]}",desktop,DE
evt_044,order_created,user_1012,sess_5012,2026-03-24T02:18:56Z,canary,/order/create,"{""order_id"": ""ord_002"", ""campaign_id"": ""cmp_002"", ""kol_id"": ""kol_567"", ""order_value"": 2200, ""currency"": ""USD"", ""service_type"": ""video_review"", ""delivery_timeline_days"": 10}",desktop,SG
evt_045,payment_completed,user_1012,sess_5012,2026-03-24T02:22:14Z,canary,/payment/confirm,"{""payment_id"": ""pay_002"", ""order_id"": ""ord_002"", ""amount"": 2200, ""currency"": ""USD"", ""payment_method"": ""bank_transfer"", ""payment_processor"": ""bank"", ""processing_time_ms"": 3500}",desktop,SG
evt_046,page_view,user_1016,sess_5016,2026-03-24T02:25:33Z,stable,/home,"{""referrer"": ""direct"", ""utm_source"": """"}",desktop,NL
evt_047,advertiser_registered,user_1016,sess_5016,2026-03-24T02:28:18Z,stable,/register/advertiser,"{""registration_method"": ""email"", ""company_name"": ""Amsterdam E-commerce"", ""industry"": ""E-commerce"", ""company_size"": ""11-50"", ""country"": ""NL""}",desktop,NL
evt_048,error_occurred,user_1017,sess_5017,2026-03-24T02:32:45Z,stable,/payment/process,"{""error_type"": ""network"", ""error_code"": ""PAYMENT_TIMEOUT"", ""error_message"": ""Payment gateway timeout"", ""severity"": ""high""}",desktop,UK
evt_049,page_view,user_1017,sess_5017,2026-03-24T02:33:22Z,stable,/payment/retry,"{""referrer"": ""internal"", ""utm_source"": """"}",desktop,UK
evt_050,payment_completed,user_1017,sess_5017,2026-03-24T02:35:56Z,stable,/payment/confirm,"{""payment_id"": ""pay_003"", ""order_id"": ""ord_stable_003"", ""amount"": 950, ""currency"": ""GBP"", ""payment_method"": ""credit_card"", ""payment_processor"": ""stripe"", ""processing_time_ms"": 1850}",desktop,UK
evt_051,page_view,user_1018,sess_5018,2026-03-24T02:38:14Z,canary,/home,"{""referrer"": ""google.com"", ""utm_source"": ""organic""}",mobile,KR
evt_052,kol_registered,user_1018,sess_5018,2026-03-24T02:42:33Z,canary,/register/kol,"{""registration_method"": ""email"", ""primary_platform"": ""youtube"", ""follower_count"": 456000, ""category"": ""Gaming"", ""country"": ""KR""}",mobile,KR
evt_053,account_connected,user_1014,sess_5014,2026-03-24T02:45:18Z,canary,/kol/accounts,"{""platform"": ""instagram"", ""account_username"": ""@tokyofoodie"", ""follower_count"": 67000, ""verification_status"": ""verified""}",mobile,JP
evt_054,task_applied,user_1009,sess_5009,2026-03-24T02:48:56Z,canary,/kol/tasks,"{""task_id"": ""tsk_002"", ""campaign_id"": ""cmp_002"", ""advertiser_id"": ""adv_1012"", ""application_message"": ""Perfect fit for my audience!"", ""proposed_rate"": 1500, ""estimated_delivery_days"": 7}",mobile,FR
evt_055,page_view,user_1019,sess_5019,2026-03-24T02:52:14Z,stable,/home,"{""referrer"": ""bing.com"", ""utm_source"": ""organic""}",desktop,SE
evt_056,advertiser_registered,user_1019,sess_5019,2026-03-24T02:55:33Z,stable,/register/advertiser,"{""registration_method"": ""email"", ""company_name"": ""Stockholm Tech"", ""industry"": ""Technology"", ""company_size"": ""51-200"", ""country"": ""SE""}",desktop,SE
evt_057,campaign_created,user_1019,sess_5019,2026-03-24T02:58:18Z,stable,/campaign/create,"{""campaign_id"": ""cmp_stable_004"", ""campaign_type"": ""brand_awareness"", ""budget"": 12000, ""currency"": ""SEK"", ""duration_days"": 60, ""target_platforms"": [""youtube"", ""instagram""]}",desktop,SE
evt_058,kol_searched,user_1019,sess_5019,2026-03-24T03:02:45Z,stable,/kol/search,"{""search_query"": ""tech influencers nordic"", ""filters"": {""platform"": [""youtube"", ""instagram""], ""follower_range"": [50000, 500000], ""engagement_rate"": [2, 6]}, ""results_count"": 45, ""page_number"": 1}",desktop,SE
evt_059,order_created,user_1019,sess_5019,2026-03-24T03:05:22Z,stable,/order/create,"{""order_id"": ""ord_stable_004"", ""campaign_id"": ""cmp_stable_004"", ""kol_id"": ""kol_789"", ""order_value"": 3500, ""currency"": ""SEK"", ""service_type"": ""sponsored_video"", ""delivery_timeline_days"": 14}",desktop,SE
evt_060,payment_completed,user_1019,sess_5019,2026-03-24T03:08:56Z,stable,/payment/confirm,"{""payment_id"": ""pay_004"", ""order_id"": ""ord_stable_004"", ""amount"": 3500, ""currency"": ""SEK"", ""payment_method"": ""bank_transfer"", ""payment_processor"": ""bank"", ""processing_time_ms"": 4200}",desktop,SE
evt_061,page_view,user_1020,sess_5020,2026-03-24T03:12:14Z,canary,/home,"{""referrer"": ""tiktok.com"", ""utm_source"": ""social""}",mobile,TH
evt_062,kol_registered,user_1020,sess_5020,2026-03-24T03:15:33Z,canary,/register/kol,"{""registration_method"": ""tiktok"", ""primary_platform"": ""tiktok"", ""follower_count"": 189000, ""category"": ""Travel"", ""country"": ""TH""}",mobile,TH
evt_063,button_click,user_1018,sess_5018,2026-03-24T03:18:18Z,canary,/kol/dashboard,"{""button_id"": ""browse_tasks"", ""button_text"": ""Browse Tasks"", ""button_location"": ""dashboard_main""}",mobile,KR
evt_064,task_applied,user_1018,sess_5018,2026-03-24T03:22:45Z,canary,/kol/tasks,"{""task_id"": ""tsk_003"", ""campaign_id"": ""cmp_003"", ""advertiser_id"": ""adv_1007"", ""application_message"": ""Gaming content is my specialty!"", ""proposed_rate"": 2000, ""estimated_delivery_days"": 5}",mobile,KR
evt_065,page_view,user_1021,sess_5021,2026-03-24T03:25:22Z,stable,/home,"{""referrer"": ""google.com"", ""utm_source"": ""organic""}",desktop,IT
evt_066,advertiser_registered,user_1021,sess_5021,2026-03-24T03:28:56Z,stable,/register/advertiser,"{""registration_method"": ""google"", ""company_name"": ""Milano Fashion"", ""industry"": ""Beauty & Fashion"", ""company_size"": ""11-50"", ""country"": ""IT""}",desktop,IT
evt_067,content_submitted,user_1009,sess_5009,2026-03-24T03:32:14Z,canary,/kol/submissions,"{""submission_id"": ""sub_002"", ""task_id"": ""tsk_002"", ""content_type"": ""video"", ""content_length_seconds"": 120, ""platform"": ""youtube"", ""submission_method"": ""link""}",mobile,FR
evt_068,page_view,user_1022,sess_5022,2026-03-24T03:35:33Z,canary,/home,"{""referrer"": ""direct"", ""utm_source"": """"}",mobile,PH
evt_069,kol_registered,user_1022,sess_5022,2026-03-24T03:38:18Z,canary,/register/kol,"{""registration_method"": ""email"", ""primary_platform"": ""instagram"", ""follower_count"": 34000, ""category"": ""Fitness"", ""country"": ""PH""}",mobile,PH
evt_070,account_connected,user_1020,sess_5020,2026-03-24T03:42:45Z,canary,/kol/accounts,"{""platform"": ""tiktok"", ""account_username"": ""@thaitraveler"", ""follower_count"": 189000, ""verification_status"": ""verified""}",mobile,TH
evt_071,form_submit,user_1021,sess_5021,2026-03-24T03:45:22Z,stable,/advertiser/profile,"{""form_id"": ""profile_form"", ""form_name"": ""Advertiser Profile"", ""fields_count"": 12, ""validation_errors"": 1, ""submission_success"": false}",desktop,IT
evt_072,form_submit,user_1021,sess_5021,2026-03-24T03:48:56Z,stable,/advertiser/profile,"{""form_id"": ""profile_form"", ""form_name"": ""Advertiser Profile"", ""fields_count"": 12, ""validation_errors"": 0, ""submission_success"": true}",desktop,IT
evt_073,campaign_created,user_1021,sess_5021,2026-03-24T03:52:14Z,stable,/campaign/create,"{""campaign_id"": ""cmp_stable_005"", ""campaign_type"": ""conversion"", ""budget"": 6500, ""currency"": ""EUR"", ""duration_days"": 30, ""target_platforms"": [""instagram"", ""tiktok""]}",desktop,IT
evt_074,page_view,user_1023,sess_5023,2026-03-24T03:55:33Z,canary,/home,"{""referrer"": ""google.com"", ""utm_source"": ""organic""}",desktop,ES
evt_075,advertiser_registered,user_1023,sess_5023,2026-03-24T03:58:18Z,canary,/register/advertiser,"{""registration_method"": ""email"", ""company_name"": ""Barcelona Startups"", ""industry"": ""Technology"", ""company_size"": ""1-10"", ""country"": ""ES""}",desktop,ES
evt_076,kol_searched,user_1023,sess_5023,2026-03-24T04:02:45Z,canary,/kol/search,"{""search_query"": ""spanish tech influencers"", ""filters"": {""platform"": [""youtube"", ""twitter""], ""follower_range"": [20000, 200000], ""engagement_rate"": [3, 7]}, ""results_count"": 67, ""page_number"": 1}",desktop,ES
evt_077,order_created,user_1023,sess_5023,2026-03-24T04:05:22Z,canary,/order/create,"{""order_id"": ""ord_003"", ""campaign_id"": ""cmp_004"", ""kol_id"": ""kol_345"", ""order_value"": 1800, ""currency"": ""EUR"", ""service_type"": ""sponsored_post"", ""delivery_timeline_days"": 7}",desktop,ES
evt_078,payment_completed,user_1023,sess_5023,2026-03-24T04:08:56Z,canary,/payment/confirm,"{""payment_id"": ""pay_005"", ""order_id"": ""ord_003"", ""amount"": 1800, ""currency"": ""EUR"", ""payment_method"": ""credit_card"", ""payment_processor"": ""stripe"", ""processing_time_ms"": 1450}",desktop,ES
evt_079,page_view,user_1024,sess_5024,2026-03-24T04:12:14Z,stable,/home,"{""referrer"": ""facebook.com"", ""utm_source"": ""social""}",mobile,AR
evt_080,kol_registered,user_1024,sess_5024,2026-03-24T04:15:33Z,stable,/register/kol,"{""registration_method"": ""facebook"", ""primary_platform"": ""instagram"", ""follower_count"": 78000, ""category"": ""Sports"", ""country"": ""AR""}",mobile,AR
evt_081,withdrawal_requested,user_1009,sess_5009,2026-03-24T04:18:18Z,canary,/kol/wallet,"{""withdrawal_id"": ""wd_002"", ""amount"": 3200, ""currency"": ""EUR"", ""withdrawal_method"": ""paypal"", ""account_last_four"": ""8901""}",mobile,FR
evt_082,page_view,user_1025,sess_5025,2026-03-24T04:22:45Z,canary,/home,"{""referrer"": ""google.com"", ""utm_source"": ""organic""}",desktop,PL
evt_083,advertiser_registered,user_1025,sess_5025,2026-03-24T04:25:22Z,canary,/register/advertiser,"{""registration_method"": ""email"", ""company_name"": ""Warsaw E-commerce"", ""industry"": ""E-commerce"", ""company_size"": ""11-50"", ""country"": ""PL""}",desktop,PL
evt_084,campaign_created,user_1025,sess_5025,2026-03-24T04:28:56Z,canary,/campaign/create,"{""campaign_id"": ""cmp_005"", ""campaign_type"": ""brand_awareness"", ""budget"": 4000, ""currency"": ""PLN"", ""duration_days"": 28, ""target_platforms"": [""instagram"", ""facebook""]}",desktop,PL
evt_085,button_click,user_1025,sess_5025,2026-03-24T04:32:14Z,canary,/campaign/create,"{""button_id"": ""save_draft"", ""button_text"": ""Save as Draft"", ""button_location"": ""campaign_form""}",desktop,PL
evt_086,page_view,user_1026,sess_5026,2026-03-24T04:35:33Z,stable,/home,"{""referrer"": ""direct"", ""utm_source"": """"}",mobile,ZA
evt_087,kol_registered,user_1026,sess_5026,2026-03-24T04:38:18Z,stable,/register/kol,"{""registration_method"": ""email"", ""primary_platform"": ""tiktok"", ""follower_count"": 156000, ""category"": ""Comedy"", ""country"": ""ZA""}",mobile,ZA
evt_088,account_connected,user_1024,sess_5024,2026-03-24T04:42:45Z,stable,/kol/accounts,"{""platform"": ""instagram"", ""account_username"": ""@argentinianathlete"", ""follower_count"": 78000, ""verification_status"": ""verified""}",mobile,AR
evt_089,task_applied,user_1020,sess_5020,2026-03-24T04:45:22Z,canary,/kol/tasks,"{""task_id"": ""tsk_004"", ""campaign_id"": ""cmp_005"", ""advertiser_id"": ""adv_1025"", ""application_message"": ""Love travel campaigns!"", ""proposed_rate"": 1200, ""estimated_delivery_days"": 6}",mobile,TH
evt_090,page_view,user_1027,sess_5027,2026-03-24T04:48:56Z,canary,/home,"{""referrer"": ""google.com"", ""utm_source"": ""paid""}",desktop,AE
evt_091,advertiser_registered,user_1027,sess_5027,2026-03-24T04:52:14Z,canary,/register/advertiser,"{""registration_method"": ""google"", ""company_name"": ""Dubai Luxury Brands"", ""industry"": ""Beauty & Fashion"", ""company_size"": ""51-200"", ""country"": ""AE""}",desktop,AE
evt_092,campaign_created,user_1027,sess_5027,2026-03-24T04:55:33Z,canary,/campaign/create,"{""campaign_id"": ""cmp_006"", ""campaign_type"": ""conversion"", ""budget"": 15000, ""currency"": ""AED"", ""duration_days"": 45, ""target_platforms"": [""instagram"", ""youtube"", ""tiktok""]}",desktop,AE
evt_093,kol_searched,user_1027,sess_5027,2026-03-24T04:58:18Z,canary,/kol/search,"{""search_query"": ""luxury lifestyle middle east"", ""filters"": {""platform"": [""instagram"", ""youtube""], ""follower_range"": [100000, 1000000], ""engagement_rate"": [2, 5]}, ""results_count"": 34, ""page_number"": 1}",desktop,AE
evt_094,order_created,user_1027,sess_5027,2026-03-24T05:02:45Z,canary,/order/create,"{""order_id"": ""ord_004"", ""campaign_id"": ""cmp_006"", ""kol_id"": ""kol_456"", ""order_value"": 5500, ""currency"": ""AED"", ""service_type"": ""brand_ambassador"", ""delivery_timeline_days"": 30}",desktop,AE
evt_095,payment_completed,user_1027,sess_5027,2026-03-24T05:05:22Z,canary,/payment/confirm,"{""payment_id"": ""pay_006"", ""order_id"": ""ord_004"", ""amount"": 5500, ""currency"": ""AED"", ""payment_method"": ""bank_transfer"", ""payment_processor"": ""bank"", ""processing_time_ms"": 5200}",desktop,AE
evt_096,page_view,user_1028,sess_5028,2026-03-24T05:08:56Z,stable,/home,"{""referrer"": ""google.com"", ""utm_source"": ""organic""}",mobile,ID
evt_097,kol_registered,user_1028,sess_5028,2026-03-24T05:12:14Z,stable,/register/kol,"{""registration_method"": ""email"", ""primary_platform"": ""tiktok"", ""follower_count"": 267000, ""category"": ""Food"", ""country"": ""ID""}",mobile,ID
evt_098,content_submitted,user_1018,sess_5018,2026-03-24T05:15:33Z,canary,/kol/submissions,"{""submission_id"": ""sub_003"", ""task_id"": ""tsk_003"", ""content_type"": ""video"", ""content_length_seconds"": 180, ""platform"": ""youtube"", ""submission_method"": ""link""}",mobile,KR
evt_099,page_view,user_1029,sess_5029,2026-03-24T05:18:18Z,canary,/home,"{""referrer"": ""twitter.com"", ""utm_source"": ""social""}",desktop,NG
evt_100,advertiser_registered,user_1029,sess_5029,2026-03-24T05:22:45Z,canary,/register/advertiser,"{""registration_method"": ""twitter"", ""company_name"": ""Lagos Tech Hub"", ""industry"": ""Technology"", ""company_size"": ""11-50"", ""country"": ""NG""}",desktop,NG
